Id,RecordTypeId,Name,IsPersonAccount,LastName,FirstName,Salutation,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,Phone,Fax,Website,Industry,AnnualRevenue,NumberOfEmployees,Description,PersonMailingStreet,PersonMailingCity,PersonMailingState,PersonMailingPostalCode,PersonMailingCountry,PersonMailingLatitude,PersonMailingLongitude,PersonMailingGeocodeAccuracy,PersonOtherStreet,PersonOtherCity,PersonOtherState,PersonOtherPostalCode,PersonOtherCountry,PersonOtherLatitude,PersonOtherLongitude,PersonOtherGeocodeAccuracy,PersonMobilePhone,PersonHomePhone,PersonOtherPhone,PersonAssistantPhone,PersonEmail,PersonTitle,PersonDepartment,PersonAssistantName,PersonLeadSource,PersonBirthdate,PersonEmailBouncedReason,PersonEmailBouncedDate,PersonIndividualId,Jigsaw,AccountSource,SicDesc,OperatingHoursId,HealthCloudGA__Active__c,HealthCloudGA__CarePlan__c,HealthCloudGA__Disabled__c,HealthCloudGA__EnrollmentType__c,HealthCloudGA__IndividualId__c,HealthCloudGA__IndividualType__c,HealthCloudGA__Institution__c,HealthCloudGA__LowIncome__c,HealthCloudGA__MedicaidEligibilityStatus__c,HealthCloudGA__MedicalRecordNumber__c,HealthCloudGA__MedicareEnrollee__c,HealthCloudGA__OREC__c,HealthCloudGA__PayerType__c,HealthCloudGA__PrimaryContact__c,HealthCloudGA__SourceSystemId__c,HealthCloudGA__SourceSystem__c,HealthCloudGA__TaxId__c,HealthCloudGA__ConvertedReferrals__pc,HealthCloudGA__CountryOfBirth__pc,HealthCloudGA__DeceasedDate__pc,HealthCloudGA__Gender__pc,HealthCloudGA__IndividualType__pc,HealthCloudGA__MedicalRecordNumber__pc,HealthCloudGA__PreferredName__pc,HealthCloudGA__PrimaryLanguage__pc,HealthCloudGA__SecondaryLanguage__pc,HealthCloudGA__SourceSystemId__pc,HealthCloudGA__SourceSystem__pc,HealthCloudGA__TotalReferrals__pc,Parent.Name,PersonIndividual.Name,OperatingHours.Name,HealthCloudGA__CarePlan__r.Subject,HealthCloudGA__PrimaryContact__r.Name,RecordType.$$DeveloperName$NamespacePrefix$SobjectType
0015e00000EsKmhAAF,0125e000001kk7SAAQ,Janet Campbell,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2wbAAC,false,NonDual,0013600000S01WyAAJ1467993541834,,false,false,false,987-65421-1,,,,0035e00000CZzM8AAL,,Health1-00D36000001E03d,,,,,,,,,,,,,,,,,Janet Campbell's Care Plan,Janet Campbell,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmgAAF,0125e000001kk7SAAQ,Jane Hamilton,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2wWAAS,false,NonDual,0013600000S01WxAAJ1467993541834,,false,false,false,987-65321-7,,,,0035e00000CZzM7AAL,,Health1-00D36000001E03d,,,,,,,,,,,,,,,,,Jane Hamilton's Care Plan,Jane Hamilton,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmfAAF,0125e000001kk7SAAQ,David Morrison,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2wMAAS,false,NonDual,0013600000Pnt9KAAR1466440000420,,false,false,false,236-55922-4,,,,0035e00000CZzM6AAL,,Health1-00D36000001E03d,,,,,,,,,,,,,,,,,David Morrison's Care Plan,David Morrison,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmeAAF,0125e000001kk7SAAQ,Shawna Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5005e000006U2vpAAC,false,NonDual,0013600000PBBfsAAH1466201091839,,false,false,false,236-14124-1,,,,0035e00000CZzM5AAL,,Health1-00D36000001E03d,,,,,,,,,,,,,,,,,Shawna Greens's Care Plan,Shawna Green,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKn4AAF,0125e000001kk7SAAQ,California Healthcare Group,false,,,,,,,,,,,,,,,,,,,,,,,,,Healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,,,false,false,false,,,,,,,Health1-00D3A000001biZH,,,,,,,,,,,,,,,,,,,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKn3AAF,0125e000001kk7SAAQ,Ohana Med,false,,,,,,1 Market Street,San Francisco,CA,94105,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,,,false,false,false,,,,,,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmnAAF,0125e000001kk7SAAQ,George Michael,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdv2QAD1549602281061,,false,false,false,,,,,0035e00000CZzMaAAL,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,George Michael,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmmAAF,0125e000001kk7SAAQ,Charles Manning,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdusQAD1549600868908,,false,false,false,,,,,0035e00000CZzMZAA1,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Charles Manning,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmlAAF,0125e000001kk7SAAQ,Ohana Health System,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWdudQAD1549597908932,,false,false,false,,,,,0035e00000CZzMYAA1,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Michael White,IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmkAAF,0125e000001kk7SAAQ,One Medical Group Inc,false,,,,,,,,,,,,,,,,,,,,,,1-212-530-2288,,http://onemedical.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0013A00001ZWduYQAT1549597799582,,false,false,false,,,,,0035e00000CZzMXAA1,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,"John Smith, MD",IndustriesBusiness;HealthCloudGA;Account
0015e00000EsKmjAAF,0125e000001kk7SAAQ,Ben Green,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,NonDual,0011I00000CAubZQAT1512505487654,,false,false,false,,,,,0035e00000CZzMWAA1,,Health1-00D1I000003oKaz,,,,,,,,,,,,,,,,,,Ben Green,IndustriesBusiness;HealthCloudGA;Account
